defense,attack,agility,stamina,class
5.3065861845,1.3083164594,1.3368285322,2.8718375103,defender
3.6805042219,5.5242455369,4.3130039391,3.8260716097,demon hunter
4.3529526088,4.8523803162,1.8589837467,3.7632161789,wizard
5.4194395933,1.2040346107,4.5749196936,1.3516430897,defender
3.3583798856,3.6444010227,5.0359886829,4.9592789602,demon hunter
5.4264815282,5.2001798702,5.5588667295,4.2095261943,defender
4.391075593,2.3760835235,2.8236037553,2.1251404276,defender
1.4787468445,5.0301193018,1.8941160282,2.8360105832,wizard
1.7367116772,4.9428575779,3.5304584834,5.4201132446,wizard
5.8071131483,3.0199099765,5.4451247272,1.3464984661,defender
5.449110399,5.2599097104,1.7834826224,2.3684750465,defender
4.7841552473,5.4119229494,3.2379945591,3.1296146209,demon hunter
1.9819949395,3.0971591864,5.8603753652,1.5909471703,demon hunter
1.7949817809,2.8409786862,5.4853797113,5.2798149609,demon hunter
4.2390939211,4.1533616665,1.3336532228,5.2961725499,defender
3.3535415367,4.5213683941,5.8974519176,3.6655754494,demon hunter
2.6956947534,1.7446171297,4.215032611,1.8362376085,defender
3.5806277129,1.3761987644,1.0640979968,3.0616944181,defender
5.3190563424,3.5898107816,4.9534975984,3.1339194779,defender
3.0099240285,4.3173393924,1.3372493689,2.8495148281,wizard
2.1094245384,2.8170371768,2.2289601262,5.7863597679,wizard
2.9159743912,5.893579788,2.9907389744,4.4669546853,wizard
5.0579018556,3.8979693307,5.575961479,3.5115172029,defender
5.7389480169,2.851114342,4.6992291827,5.1736955219,defender
2.1309293029,5.8528836365,4.006245303,5.2243277282,wizard
3.7456961246,5.370023224,3.0355986734,1.3597868397,demon hunter
2.1044039694,3.6431480423,4.0193468067,4.7312934268,wizard
2.3211042108,4.6850316846,3.002371077,3.3384031514,wizard
5.1879179794,4.3310282393,5.7448615171,2.5255966526,defender
1.1480654161,3.3396204459,3.1259802138,1.2973425179,demon hunter
1.1909223059,2.3770255423,5.8439802276,5.0419546049,demon hunter
2.9399239356,3.1816612827,5.0327756247,4.9018820855,demon hunter
4.754765722,2.6788719548,3.5652513257,4.2666032342,defender
1.9031996829,1.1637049275,1.0148145575,3.6870292169,defender
5.5337281516,2.7610110273,5.6346065006,2.4719606657,defender
3.120797867,4.6488958076,2.2920438522,2.569326825,wizard
1.3006202541,4.2252018386,2.9102335232,5.3113906588,wizard
2.6497938102,2.6217244649,2.5662736981,1.0661385758,defender
5.9527527043,4.9126046002,2.6152702761,1.0687662489,defender
2.252225046,1.8377117896,1.5025843834,1.7679254469,defender
2.1350543099,1.1008181204,4.8466618047,4.11725999,defender
2.4778436627,4.3782052598,3.420159867,2.3259766158,demon hunter
4.5076378984,2.3218238903,3.0698214788,3.2448917665,defender
1.2237059758,5.3600838026,2.0389557574,3.5404135231,wizard
3.7041184506,4.9784717001,1.7394827274,2.9421554427,wizard
1.5910512502,3.2378466022,4.8071734295,3.8602805943,demon hunter
2.085482433,2.8830951024,2.1944857636,5.1077936837,wizard
1.7295181486,3.9957159562,2.9083205564,3.8442795738,wizard
4.6819913657,1.6822708528,2.354818861,4.2029090542,defender
1.7830889733,4.1605456024,2.5387508646,5.8170456756,wizard
2.1430222914,3.260932636,4.5827565263,4.9589107316,wizard
4.3189945342,5.6506601921,3.1910737152,4.8064625044,wizard
3.7849342045,5.3579502939,2.3001057366,5.8951921682,wizard
3.1330387704,4.5244169319,2.3846975262,2.8911569868,wizard
4.7742520915,1.9402121999,2.9233503169,5.9871547567,defender
1.0480058836,3.4701799615,1.4658959177,5.9687378551,wizard
3.8130174289,1.7775240322,4.5126899276,2.8465575646,defender
2.459794885,3.3742164765,1.5347620789,2.4950087946,wizard
2.3120544702,3.2428838583,5.5038164943,3.0735129435,demon hunter
2.0324236751,3.4550767639,3.105736956,4.0865730229,wizard
2.8930355273,5.3514182116,4.7093685055,5.2968106712,wizard
5.1920028394,5.6779697319,4.2023866638,1.0094742421,demon hunter
2.9006312289,2.3250416121,4.5024925508,5.5098229009,defender
3.2652538121,5.58708419,3.0572641515,1.6748833205,demon hunter
1.6436211755,3.313259698,4.0907837301,3.5231600716,demon hunter
5.897376548,4.4566386067,1.8962469269,4.6304629315,defender
5.9516474013,5.5505786175,5.5977340429,3.2333443142,defender
2.7934624758,1.4321386269,3.82636747,1.2714292053,defender
3.5056515727,2.2637018738,1.601636949,5.2578859697,defender
4.7187786377,2.2972789723,4.3982299617,4.2375588687,defender
5.3838519952,4.5380752478,2.1330875731,1.3203595569,defender
3.8894934594,1.8245155937,2.9117843732,2.8119055033,defender
1.1213262649,2.2768875225,1.9548572544,2.5988619649,wizard
2.608336207,5.3133291067,1.6383707188,5.1572439182,wizard
4.7443281082,4.5089674382,1.1217778912,2.3680032664,defender
5.1838507587,3.9036245309,2.4571461082,4.8792444812,defender
1.2168842289,1.801592262,4.3247523336,5.8274719366,wizard
4.2841105433,4.3076679613,3.8582465788,4.2221288816,wizard
4.6542675085,4.2357579446,1.4315320752,1.1433096081,defender
5.4994598185,5.6517090546,1.9489880269,2.1599190813,wizard
5.6979943314,4.2182384562,1.6736951624,4.3682926348,defender
5.0427540499,1.3328400222,2.4315184997,2.6519211116,defender
2.6097275447,3.5874877907,5.1863497579,5.1640803171,demon hunter
4.4774094238,3.5645847991,5.3855178077,5.2548039579,defender
2.7218287173,1.7946859649,5.9232072476,1.5154296267,defender
5.3036534032,5.1157801426,3.2552355169,3.0001042401,defender
3.0194046735,1.4661568278,3.6146756066,2.3018960319,defender
